,vec1,vec2
0,-0.28045505,0.30413675
1,0.21402511,-0.1092517
2,-0.25726205,0.32235247
3,0.22970478,-0.3272907
4,-0.21838336,0.06882223
5,-0.18743563,-0.29638112
6,0.31260782,0.31072098
7,-0.21742818,-0.1784688
8,-0.22848897,0.25041205
9,0.29354414,0.065311
10,-0.09640765,0.08979595
11,0.13024673,-0.19840917
12,0.03494982,-0.15811014
13,0.13088048,-0.06272348
14,0.09914613,-0.25219268
15,0.14257137,0.1572971
16,-0.075033665,0.05326458
17,-0.09729838,0.2269969
18,-0.18836033,-0.21097633
19,-0.18880701,0.16246359
20,0.08426281,-0.29314178
21,0.062077485,0.12125926
22,0.28151986,-0.2818244
23,-0.039885163,-0.1231577
24,-0.18757693,0.25937197
25,0.31197423,-0.05130891
26,-0.02283756,-0.008983175
27,-0.23698935,-0.022961935
28,0.29029453,0.24040198
29,0.17692924,0.181277
30,0.256172,0.2546367
31,0.19276103,0.060164772
32,0.08791356,0.21855268
33,-0.26146087,0.1812799
34,0.010845184,-0.091283605
35,0.008114378,-0.33190674
36,-0.23104426,0.21227705
37,0.31376028,0.3191284
38,0.2135735,0.16724317
39,-0.30647087,-0.25702032
40,0.24023108,0.05717385
41,0.26061356,0.057389896
42,0.06752586,0.25046194
43,0.26890144,-0.09871551
44,0.22462699,0.122405015
45,0.24658251,-0.10120456
46,0.18339407,-0.120600544
47,-0.026749294,-0.17765848
48,0.27737424,0.0019837618
49,0.054026805,-0.019845843
50,0.1533463,-0.16677551
51,-0.25700974,0.09775233
52,0.21119556,0.22448611
53,-0.23029801,-0.15382731
54,0.27170762,0.0351156
55,0.25675172,0.3113299
56,-0.12140679,0.15707919
57,0.16769636,-0.06828928
58,0.27891743,0.0701139
59,0.09715021,-0.29406533
60,0.24592409,0.017768662
61,-0.23561633,0.059576154
62,-0.25776598,-0.1226544
63,0.17245536,0.068904005
64,0.25564918,0.095480084
65,0.30503148,-0.31786808
66,-0.2770748,0.039556067
67,0.027003568,0.32111067
68,-0.10029268,0.080290124
69,0.18619864,0.10143217
70,0.26211604,0.021496376
71,0.05628431,0.1831485
72,0.23769371,-0.031560265
73,0.21978073,0.10820866
74,0.2516597,0.046116512
75,0.23307022,-0.32583278
76,0.2507308,0.07334781
77,-0.15437207,-0.31045073
78,0.20318517,0.13540018
79,-0.23836748,-0.08873618
80,-0.02349573,-0.0071107214
81,0.09919775,0.05837201
82,-0.032960255,0.020718815
83,0.034816064,-0.061333343
84,0.026965708,-0.0637026
85,0.058720015,-0.10474645
86,-0.03546886,0.09884717
87,0.061239455,-0.09277928
88,0.007973552,-0.043938905
89,0.1083157,-0.08114422
90,0.04950864,0.098392196
91,0.06634635,0.0161931
92,-0.03317099,0.015635287
93,-0.079687946,0.090584
94,-0.034806903,0.07101224
95,-0.04838891,0.038070798
96,-0.06025697,-0.103279166
97,-0.02922374,-0.078797035
98,0.08135765,0.08131837
99,-0.067675374,-0.065810055
100,-0.05626437,0.07890858
101,0.02801213,0.08438349
102,-0.03408782,-0.03274283
103,0.04499134,-0.115231395
104,0.11254768,0.013999048
105,0.042316854,0.088585034
106,0.10771518,-0.016673308
107,0.093637094,0.06428388
108,0.055731535,-0.053964205
109,-0.07226663,0.056457292
110,-0.025523288,0.03741335
111,0.08041108,0.029410211
112,0.10601429,0.027677765
113,0.042445444,0.08135571
114,0.014925323,0.065490946
115,-0.10459835,0.025568975
116,-0.08916705,0.004755738
117,-0.062308848,0.055251077
118,-0.022878082,0.03651423
119,0.015223779,-0.06516787
120,-0.041075744,0.104084484
121,0.048217412,0.09497407
122,-0.056593396,0.023450507
123,0.01752612,-0.057414517
124,-0.09871115,0.032942552
125,-0.0088264635,0.0544493
126,-0.110751174,0.03836753
127,-0.07821829,-0.10266195
128,-0.08628327,-0.108126156
129,-0.101379946,-0.013891559
130,-0.018245133,0.07598605
131,0.05609053,0.036325652
132,-0.044018548,-0.08139274
133,0.050787445,-0.094934516
134,0.06490473,-0.09645
135,0.05056408,-0.010480348
136,-0.011361877,0.07760357
137,-0.009402231,-0.025039991
138,0.08784239,0.005227291
139,-0.0937147,0.051250666
140,-0.08520209,-0.06059489
141,-0.07996943,-0.11119301
142,0.01250306,0.09632286
143,0.0020535772,0.09681362
144,0.08537738,-0.11370527
145,-0.108879626,-0.087607786
146,0.10836882,0.056406643
147,-0.08912809,-0.01931687
148,-0.019450659,0.017016018
149,-0.10936152,-0.09884536
150,0.031337585,-0.0385699
151,-0.08791982,0.014223789
152,-0.013417617,-0.00067177863
153,0.059489913,-0.054920927
154,0.09292308,0.04639653
155,-0.023410467,-0.080615066
156,-0.047465134,-0.010556255
157,-0.10430883,-0.08002796
158,0.053098608,0.081158504
159,0.115379445,0.009409649
160,0.06677977,-0.018294064
161,0.028060388,0.0772333
162,-0.013080513,0.036485657
163,0.07570746,0.10929842
164,0.07902292,-0.059643384
165,-0.10166052,0.09314799
166,-0.098066896,0.053641967
167,0.114400074,0.06294848
168,0.0075612008,0.09145384
169,0.11005044,-0.02863631
170,-0.09228613,0.046574853
171,-0.052749548,-0.10344864
172,0.03582194,-0.106033295
173,-0.0013132677,0.09488909
174,0.1041827,0.062482465
175,-0.046423364,0.09796404
176,0.026854651,-0.012126337
177,-0.06543025,0.072930865
178,-0.06553836,-0.072750136
179,-0.06783396,-0.0067838165
180,-0.01995954,-0.025714088
181,-0.10178568,-0.07873353
182,0.08673185,0.05836587
183,0.104908325,0.080644384
184,-0.08288294,-0.020421863
185,-0.10295438,-0.05816112
186,0.040534407,0.08370017
187,0.00951038,0.0427948
188,0.08058677,-0.11247855
189,0.036375273,0.06745907
190,-0.007227974,-0.034526095
191,0.075203575,-0.037761018
192,-0.10569545,-0.0070243767
193,-0.015564129,-0.08091008
194,-0.04186618,0.019107485
195,-0.09595322,-0.051359672
196,0.0040678876,0.083921105
197,0.05174165,-0.090767354
198,-0.11229504,-0.04247853
199,-0.003617141,-0.002500151
200,0.079574645,-0.1138301
201,0.04458603,0.10630899
202,0.11057511,-0.054738864
