,epoch1
0,-1843200.6
1,0.2826252
2,0.2201734
3,0.10618129
4,0.3062628
5,0.5679325
6,0.40774077
7,-0.19255546
8,0.46687192
9,0.3001159
10,0.3002678
11,0.37891528
12,0.315879
13,0.1977902
14,0.61893374
15,0.25564298
16,0.20916425
17,0.024284175
18,0.3407264
19,0.32593948
20,-0.2634066
21,0.0686048
22,0.15261468
23,0.4616718
24,0.23029532
25,0.23328608
26,0.48146063
27,0.52951676
28,0.61899525
29,0.60567206
30,0.21086465
31,0.20628065
32,0.000838666
33,0.36896503
34,-0.36385247
35,-0.26433274
36,0.059675362
37,-0.11727309
38,0.08092025
39,-0.07450953
40,-0.21601391
41,0.18736842
42,-0.2762066
43,0.003078103
44,-0.24703106
45,-0.23242685
46,0.14986247
47,0.2969688
48,-0.14160472
49,0.48277855
50,0.50361645
51,0.61609006
52,-0.16532944
53,0.04831083
54,0.41773272
55,0.39457843
56,0.3509181
57,0.1802858
58,0.594664
59,0.17676283
60,-0.10907512
61,0.33316812
62,0.07922448
63,0.36261374
64,-0.020123405
65,0.17673957
66,0.56000733
67,0.47711033
68,0.42927226
69,0.14380908
70,-0.37746203
71,-0.4584277
72,-0.24843313
73,0.10292027
74,0.00732233
75,0.11055894
76,0.14770487
77,-0.32986856
78,0.043431327
79,0.0037847937
80,0.0054210685
81,-0.01539295
82,-0.010316069
83,-0.08370518
84,0.10677158
85,0.11322132
86,-0.0011932153
87,-0.031811543
88,0.09811358
89,0.06624818
90,0.107544534
91,0.1693406
92,0.0123307295
93,0.09250341
94,0.10596946
95,0.08245478
96,-0.08023103
97,-0.060365625
98,0.13701916
99,0.094123214
100,0.09150194
101,-0.09652458
102,0.07803254
103,0.072189614
104,-0.060051266
105,-0.21037298
106,-0.07873839
107,0.0065634
108,-0.017963596
109,0.10618913
110,0.0083688805
111,0.16597703
112,0.14045414
113,0.070747755
114,0.1247235
115,0.01551613
116,0.17463973
117,-0.097294204
118,-0.0034114197
119,-0.00077367574
120,-0.07592901
121,-0.033142373
122,0.04658393
123,0.020194568
124,0.0069357827
125,0.08220994
126,0.11519554
127,0.11332736
128,-0.039032355
129,-0.00011380172
130,0.12975197
131,-0.014912658
132,-0.09069641
133,0.15208165
134,0.013941154
135,0.09032786
136,0.03500332
137,0.12554532
138,0.083291344
139,0.013356129
140,0.08208953
141,-0.10938754
142,0.060722504
143,-5.5984085e-05
144,0.18676828
145,0.24831678
146,0.024493905
147,0.036614027
148,0.07413124
149,-0.05412147
150,0.104944676
151,0.10146452
152,0.16791767
153,0.06382488
154,-0.13597265
155,-0.04334046
156,-0.014688976
157,-0.038922973
158,-0.121294454
159,0.09253854
160,-0.066646986
161,-0.12483704
162,-0.10016043
163,0.02991163
164,-0.08542549
165,-0.022236288
166,-0.10912898
167,0.061021805
168,-0.1027718
169,-0.018145094
170,-0.08354453
171,-0.081486344
172,-0.07328756
173,0.01037685
174,-0.058802146
175,-0.061474565
176,-0.05349774
177,-0.07101938
178,0.0006929248
179,0.09379018
180,-0.12260991
181,0.03680679
182,0.012710886
183,0.08568438
184,-0.10905052
185,-0.086555526
186,0.05403917
187,-0.10401194
188,-0.06716923
189,0.050956406
190,-0.032489672
191,0.09535252
192,0.022695877
193,0.011460714
194,0.041793935
195,0.029047318
196,0.10709154
197,0.096134596
198,0.09827075
199,-0.12887228
200,0.051478576
201,-0.08142287
202,-0.04539816
203,-0.06947671
204,0.068253465
205,0.084016584
206,0.08618677
207,0.010955699
208,0.062404253
209,0.069005914
210,-0.035113044
211,-0.04761032
212,-0.061973758
213,-0.012863972
214,-0.059567813
215,-0.021470038
216,0.03810825
217,-0.116760686
218,-0.11813082
219,0.044487115
220,-0.09108792
221,0.09704963
222,-0.07443229
223,0.06554711
224,-0.06766389
225,-0.06387254
226,-0.026307195
227,-0.1377897
228,-0.039940234
229,0.06967319
230,-0.060244624
231,-0.09762426
232,-0.12022799
233,0.10604121
234,-0.09899359
235,-0.007171508
236,0.017411785
237,0.19473292
238,0.08865028
239,0.018986251
240,-0.033371724
241,-0.10759111
242,0.09592005
243,0.097989924
244,0.114577994
245,-0.08339184
246,0.10908149
247,0.0009755004
248,0.07752184
249,-0.11830359
250,-0.13991779
251,0.08350442
252,-0.205797
253,-0.17168126
254,-0.00991164
255,0.20437331
256,0.17698467
257,0.09465357
258,0.20844693
259,-0.0630903
260,0.15045968
261,-0.027228959
262,-0.009522043
263,-0.094215475
264,0.11109687
265,-0.05695405
266,0.021933831
267,0.09111712
268,-0.03940156
269,-0.07533599
270,-0.02712363
271,0.041529756
272,-0.12012157
273,0.015489913
274,0.09792365
275,0.007250145
276,-0.05397877
277,-0.09266216
278,-0.07521464
279,-0.09484035
280,-0.083439305
281,0.023067014
282,0.1673826
283,0.12923421
284,0.019919416
285,-0.09873132
286,-0.054462314
287,0.09877439
288,-0.21921262
289,0.042198546
290,0.16580082
291,0.22678925
292,0.26013586
293,0.29475582
294,0.18586934
295,0.03537162
296,0.16539489
297,-0.12140854
298,0.045938306
299,0.32989547
300,-0.32651764
301,-0.039658625
302,0.33078277
303,-0.20014316
304,0.16338655
305,0.3058541
306,-0.015633656
307,0.212248
308,0.29843155
309,-0.3239293
310,-0.21316943
311,0.26724255
312,-0.25689897
313,0.00415808
314,0.22193962
315,-0.046888378
316,-0.06181071
317,0.13998605
318,-0.30656216
319,-0.115276545
320,0.1613336
321,-0.07032147
322,0.22924307
323,0.23380475
324,0.04064271
325,0.16047366
326,0.3463977
327,-0.22019765
328,0.01664276
329,0.219196
330,-0.15512437
331,-0.13800488
332,0.050944503
333,0.05636335
334,-0.11378941
335,0.042952187
336,-0.05589223
337,-0.012115829
338,-0.021158405
339,0.03547696
340,-0.028898321
341,-0.09132656
342,0.025589341
343,0.0745963
344,0.18176618
345,-0.3008041
346,-0.0493191
347,0.26648575
348,-0.12550898
349,-0.05221687
350,0.17651428
351,-0.020314937
352,0.16501695
353,0.17524548
354,-0.29806542
355,-0.23202462
356,0.16986485
357,-0.22823484
358,0.0015505379
359,0.13592662
360,0.1877839
361,0.13698068
362,0.19996695
363,-0.08678151
364,-0.0838042
365,0.20805313
366,-0.25526798
367,-0.21323504
368,0.078193024
369,0.05997906
370,0.07060206
371,0.1942401
372,0.11454884
373,0.1533777
374,-0.059848096
375,-0.19727238
376,-0.20991892
377,-0.29389673
378,0.043102775
379,0.14724806
380,0.12650545
381,0.11388358
382,0.14125527
383,-0.018823357
384,-0.29975522
385,-0.28864157
386,-0.20571646
387,0.06604365
388,0.14639345
389,0.30419812
390,-0.064446226
391,0.04710072
392,-0.07897764
393,-0.25261912
394,-0.23885567
395,-0.087311596
396,-0.054360207
397,-0.021537995
398,0.18502255
399,0.318683
400,0.21400054
401,0.2528078
402,-0.06418764
403,-0.07931795
404,-0.15210362
405,0.01079189
406,-0.0154388845
407,0.048966564
408,-0.10301176
409,0.05504314
410,0.08959495
411,-0.030634716
412,0.0765631
413,0.006858848
414,0.122462876
415,0.16816509
416,0.17849903
417,0.11100467
418,0.058444746
419,-0.054319356
420,-0.30356908
421,-0.26272175
422,-0.14516886
423,0.22198062
424,0.08131573
425,0.13648519
426,0.028625388
427,0.11092787
428,-0.035719473
429,-0.30985543
430,-0.277839
431,-0.3204169
432,0.10148653
433,0.17593624
434,0.2896743
435,0.28078556
436,0.46614194
437,0.38896918
438,-0.25549737
439,-0.1336254
440,-0.2969212
441,0.1468768
442,0.05612119
443,-0.11901061
444,0.13046119
445,0.11228271
446,0.005655698
447,-0.009976933
448,0.1257245
449,0.08057888
450,-0.032076586
451,0.09498572
452,0.050514527
453,0.2041746
454,0.1717064
455,-0.0011513102
456,0.009659797
457,0.18443264
458,0.13541442
459,0.14107513
460,0.12641892
461,-0.08127037
462,0.061739385
463,0.10924265
464,0.13674514
465,0.01901841
466,0.06793146
467,0.19344835
468,0.002425798
469,0.07393338
470,-0.050687034
471,0.18141694
472,0.1513278
473,-0.117202945
474,0.16006182
475,0.16191015
476,0.106058784
477,0.09521375
478,0.11329206
479,0.012507699
480,0.04667137
481,0.0032777637
482,0.03450694
483,0.09598511
484,-0.040094607
485,0.057386257
486,0.07706179
487,-0.020207066
488,-0.057615913
489,0.059455115
490,-0.0016716744
491,-0.08153561
492,0.038774293
493,0.15869851
494,0.22492702
495,-0.0064130393
496,0.18158504
497,0.106073506
498,-0.009212442
499,0.13404356
500,0.08682111
501,0.037145797
502,0.039332412
503,0.046845958
504,-0.08863875
505,-0.005991383
506,-0.077737816
507,0.15953588
508,-0.0107536465
509,-0.13325192
510,-0.04690155
511,0.12041136
512,0.14354862
513,0.044298854
514,0.087522134
515,0.07682646
516,0.11675751
517,0.07199151
518,-0.18142311
519,0.16267702
520,-0.263466
521,0.0054510194
522,0.2715378
523,0.23516124
524,-0.032861598
525,0.3424163
526,0.03544438
527,-0.24506004
528,0.18758202
529,-0.2049379
530,-0.17597185
531,0.21803452
532,0.032618005
533,0.009155274
534,0.2349679
535,-0.03827687
536,-0.057770126
537,0.09667878
538,-0.19100165
539,-0.10672713
540,-0.0695923
541,0.05719963
542,0.16855508
543,0.17920321
544,0.11098985
545,-0.026918791
546,0.028058847
547,-0.09447251
548,-0.2399883
549,0.08772122
550,-0.02360548
551,-0.11609053
552,-0.035572767
553,-0.018791862
554,0.0447725
555,-0.08331308
556,0.07154291
557,-0.06885058
558,0.017329251
559,0.10584205
560,-0.046992693
561,0.09088407
562,-0.0121016335
563,-0.127861
564,0.110929176
565,-0.23974791
566,-0.08828605
567,0.054989416
568,0.2647375
569,0.13325924
570,0.2882227
571,0.06088116
572,-0.03478714
573,0.3487605
574,-0.03381992
575,-0.25897452
576,-0.0725076
577,0.23645335
578,0.20989601
579,0.23618273
580,0.096135825
581,-0.06669417
582,0.17156759
583,-0.15925753
584,-0.2299115
585,0.19740537
586,0.03780455
